Name,Box,Card,Channel,Value,Gain,Comment
Temp-Master Laser Housing,0,1,3,25,12,
Temp-Master Laser Diode,0,1,4,18.8,5,
Temp-Slave Laser 1 Housing,0,4,1,25,10,
Temp-Slave Laser 1 Diode,0,4,2,15.4,5,
Temp-Slave Laser 2 Housing,0,4,3,25,10,
Temp-Slave Laser 2 Diode,0,4,4,14.6,5,
Temp-Slave Laser 3 Housing,1,1,1,25,10,
Temp-Slave Laser 3 Diode,1,1,2,17.3,5,
Temp-Slave Laser 4 Housing,1,1,3,25,10,
Temp-Slave Laser 4 Diode,1,1,4,16.3,5,
Temp-SOA 1 Housing,1,3,1,25,10,
Temp-SOA 1 Chip,1,3,2,20,1,
Temp-SOA 2 Housing,1,3,3,25,10,
Temp-SOA 2 Chip,1,3,4,20,1,
